chr01e	03b047fa-1bee-461a-8419-f453d2f2efc2:0-9862(-)	bg-end	20
chr01e	03b047fa-1bee-461a-8419-f453d2f2efc2:0-9862(-)	bg-middle	0
chr01e	03b047fa-1bee-461a-8419-f453d2f2efc2:0-9862(-)	bg-start	980
chr01e	03b047fa-1bee-461a-8419-f453d2f2efc2:0-9862(-)	telo	8549
chr01e	08092dc7-72c1-4acf-9d1a-7b9d1c3d8770:22882-32642(+)	bg-end	3
chr01e	08092dc7-72c1-4acf-9d1a-7b9d1c3d8770:22882-32642(+)	bg-middle	0
chr01e	08092dc7-72c1-4acf-9d1a-7b9d1c3d8770:22882-32642(+)	bg-start	1003
chr01e	08092dc7-72c1-4acf-9d1a-7b9d1c3d8770:22882-32642(+)	telo	8561
chr01e	08b23e2f-9794-43c9-99b2-77f9e6c829b0:0-9687(-)	bg-end	28
chr01e	08b23e2f-9794-43c9-99b2-77f9e6c829b0:0-9687(-)	bg-middle	0
chr01e	08b23e2f-9794-43c9-99b2-77f9e6c829b0:0-9687(-)	bg-start	1012
chr01e	08b23e2f-9794-43c9-99b2-77f9e6c829b0:0-9687(-)	telo	8150
chr01e	09086be2-797e-4701-b33e-4d5614f101df:25210-35080(+)	bg-end	16
chr01e	09086be2-797e-4701-b33e-4d5614f101df:25210-35080(+)	bg-middle	0
chr01e	09086be2-797e-4701-b33e-4d5614f101df:25210-35080(+)	bg-start	1033
chr01e	09086be2-797e-4701-b33e-4d5614f101df:25210-35080(+)	telo	8566
chr01e	0b11cb7d-614c-47be-885a-8b2b4751bbe8:0-4129(-)	bg-end	1
chr01e	0b11cb7d-614c-47be-885a-8b2b4751bbe8:0-4129(-)	bg-middle	0
chr01e	0b11cb7d-614c-47be-885a-8b2b4751bbe8:0-4129(-)	bg-start	1012
chr01e	0b11cb7d-614c-47be-885a-8b2b4751bbe8:0-4129(-)	telo	3018
chr01e	10e39ace-23c0-4123-ac98-949034e7e3a5:0-10073(-)	bg-end	22
chr01e	10e39ace-23c0-4123-ac98-949034e7e3a5:0-10073(-)	bg-middle	0
chr01e	10e39ace-23c0-4123-ac98-949034e7e3a5:0-10073(-)	bg-start	1006
chr01e	10e39ace-23c0-4123-ac98-949034e7e3a5:0-10073(-)	telo	8407
chr01e	164e1f2e-89b3-4fcf-8859-2b187a833419:52219-61968(+)	bg-end	1
chr01e	164e1f2e-89b3-4fcf-8859-2b187a833419:52219-61968(+)	bg-middle	3
chr01e	164e1f2e-89b3-4fcf-8859-2b187a833419:52219-61968(+)	bg-start	1005
chr01e	164e1f2e-89b3-4fcf-8859-2b187a833419:52219-61968(+)	telo	8568
chr01e	19e0d679-4970-4151-a269-50645e17e17a:0-10255(-)	bg-end	3
chr01e	19e0d679-4970-4151-a269-50645e17e17a:0-10255(-)	bg-middle	91
chr01e	19e0d679-4970-4151-a269-50645e17e17a:0-10255(-)	bg-start	1028
chr01e	19e0d679-4970-4151-a269-50645e17e17a:0-10255(-)	telo	8572
chr01e	1b783b15-267b-4c88-a5e5-33a5b14605e9:0-9673(-)	bg-end	24
chr01e	1b783b15-267b-4c88-a5e5-33a5b14605e9:0-9673(-)	bg-middle	213
chr01e	1b783b15-267b-4c88-a5e5-33a5b14605e9:0-9673(-)	bg-start	1062
chr01e	1b783b15-267b-4c88-a5e5-33a5b14605e9:0-9673(-)	telo	7726
chr01e	1d24de5e-d655-414b-b22a-d4abf73f4bf3:25704-35363(+)	bg-end	13
chr01e	1d24de5e-d655-414b-b22a-d4abf73f4bf3:25704-35363(+)	bg-middle	0
chr01e	1d24de5e-d655-414b-b22a-d4abf73f4bf3:25704-35363(+)	bg-start	1016
chr01e	1d24de5e-d655-414b-b22a-d4abf73f4bf3:25704-35363(+)	telo	8248
chr01e	1dcd44c7-36a7-4027-934c-3d8a3dcf079d:0-9688(-)	bg-end	21
chr01e	1dcd44c7-36a7-4027-934c-3d8a3dcf079d:0-9688(-)	bg-middle	65
chr01e	1dcd44c7-36a7-4027-934c-3d8a3dcf079d:0-9688(-)	bg-start	985
chr01e	1dcd44c7-36a7-4027-934c-3d8a3dcf079d:0-9688(-)	telo	8183
chr01e	1eae5b2c-3a34-42d0-b80d-81bc5760e6d0:33994-44093(+)	bg-end	1
chr01e	1eae5b2c-3a34-42d0-b80d-81bc5760e6d0:33994-44093(+)	bg-middle	39
chr01e	1eae5b2c-3a34-42d0-b80d-81bc5760e6d0:33994-44093(+)	bg-start	1054
