Pa02L,Pa03R,Pa05R,Pa06R,,Pa03Rp,,Pa01R,Pa04R,,
Pa07R,Pa09L,Pa10R,Pa14R,,Pa09Lp,,Pa02R,Pa12L,,
Pa15L,,,,Pa14Rp1,Pa12Rp,,Pa13L,Pa15R,,
,Pa04L,Pa08R,Pa13R,Pa14Rp4,Pa14Rp3,,,,,
Pa01L,Pa10L,Pa12R,,,,,,,Ph2R,Ph3L
Pa06Rp,Pa02Lp1,Pa02Lp2,Pa07L,Pa07Rp,Pa10Rp,,Ka4R,,,Ph2Rp
Pa10Lp,Pa13Rp,Pa05Rp,Pa14Rp2,Pa16L,Pa15Lp,,An19R,,,
,,,,,,,,,An11R,An13L
Pa03L,Pa14L,Pa06L,Ka1R,Ka3L,An15R,,,,,
Pa16R,,Pa11L,Ka5R,,,,,,An10L,An16R
,,,,,,,,,,
Ka1L,Ka2R,Ka1Lp,Ka2Rp1,Ka6R,Ka5L,,Ka2L,,An09R,An17R
Ka3R,,Ka4L,Ka2Rp2,Ka6L,,,Ka2Lp,,,
,,,,,,,,,An08L,An12L
An02R,An08R,,An06R,,An04R,An18R,An04Rp,,,
An13R,,An13Rp,An05L,,,An03R,An18Rp,,An20L,An20R
,An08Rp,,,,,,,,,
