	jamAng-chr01L-d	jamAng-chr01R-d	jamAng-chr02L-d	jamAng-chr02R-d	jamAng-chr03L-d	jamAng-chr03R-d	jamAng-chr04L-d	jamAng-chr04R-d	jamAng-chr05L-d	jamAng-chr05R-d	jamAng-chr06L-d	jamAng-chr06R-d	jamAng-chr07L-d	jamAng-chr07R-d	jamAng-chr08L-d	jamAng-chr08R-d	jamAng-chr09L-d	jamAng-chr09R-d	jamAng-chr10L-d	jamAng-chr10R-d	jamAng-chr11L-d	jamAng-chr11R-d	jamAng-chr12L-d	jamAng-chr12R-d	jamAng-chr13L-d	jamAng-chr13R-d	jamAng-chr14L-d	jamAng-chr14R-d	jamAng-chr15L-d	jamAng-chr15R-d	jamAng-chr16L-d	jamAng-chr16R-d	jamAng-chr17L-d	jamAng-chr17R-d	jamAng-chr18L-d	jamAng-chr18R-d	jamAng-chr19L-d	jamAng-chr19R-d	jamAng-chr20L-d	jamAng-chr20R-d	jamAng-chr02R-p	jamAng-chr04R-p	jamAng-chr08R-p	jamAng-chr10R-p	jamAng-chr13R-p	jamAng-chr18R-p	jamPal-chr01R-d	jamPal-chr01L-d	jamPal-chr02R-d	jamPal-chr02L-d	jamPal-chr03R-d	jamPal-chr03L-d	jamPal-chr04R-d	jamPal-chr04L-d	jamPal-chr05R-d	jamPal-chr05L-d	jamPal-chr06R-d	jamPal-chr06L-d	jamPal-chr07R-d	jamPal-chr07L-d	jamPal-chr08R-d	jamPal-chr08L-d	jamPal-chr09R-d	jamPal-chr09L-d	jamPal-chr10R-d	jamPal-chr10L-d	jamPal-chr11R-d	jamPal-chr11L-d	jamPal-chr12R-d	jamPal-chr12L-d	jamPal-chr13R-d	jamPal-chr13L-d	jamPal-chr14R-d	jamPal-chr14L-d	jamPal-chr15R-d	jamPal-chr15L-d	jamPal-chr16R-d	jamPal-chr16L-d	jamPal-chr02L-p1	jamPal-chr02L-p2	jamPal-chr03R-p	jamPal-chr04R-p	jamPal-chr05R-p	jamPal-chr06R-p	jamPal-chr07R-p	jamPal-chr09L-p	jamPal-chr10L-p	jamPal-chr10R-p	jamPal-chr12R-p	jamPal-chr13R-p	jamPal-chr14R-p1	jamPal-chr14R-p2	jamPal-chr14R-p3	jamPal-chr14R-p4	jamPal-chr15L-p	jamPhy-chr1L-d	jamPhy-chr1R-d	jamPhy-chr2L-d	jamPhy-chr2R-d	jamPhy-chr3L-d	jamPhy-chr3R-d	jamPhy-chr2R-p	jamPhy-chr3L-p	symKan-chr1R-d	symKan-chr1L-d	symKan-chr2R-d	symKan-chr2L-d	symKan-chr3R-d	symKan-chr3L-d	symKan-chr4R-d	symKan-chr4L-d	symKan-chr5R-d	symKan-chr5L-d	symKan-chr6L-d	symKan-chr6R-d	symKan-chr1L-p	symKan-chr2L-p	symKan-chr2R-p1	symKan-chr2R-p2
jamAng-chr01L-d	0.0	0.9583333333333334	1.0	0.9807692307692307	1.0	1.0	1.0	0.9444444444444444	0.9305555555555556	0.9661016949152542	1.0	1.0	1.0	0.9583333333333334	0.967741935483871	0.9807692307692307	1.0	0.9166666666666666	0.9722222222222222	0.9722222222222222	0.9722222222222222	1.0	1.0	0.9583333333333334	0.9861111111111112	0.9807692307692307	0.9206349206349207	0.9583333333333334	0.9861111111111112	1.0	0.9027777777777778	0.9661016949152542	0.9722222222222222	0.8888888888888888	0.9861111111111112	0.9444444444444444	0.9722222222222222	0.9722222222222222	0.9444444444444444	0.9444444444444444	1.0	1.0	0.9722222222222222	0.9583333333333334	0.9861111111111112	0.9523809523809523	1.0	0.9722222222222222	1.0	0.9722222222222222	0.9722222222222222	1.0	1.0	0.9722222222222222	0.9722222222222222	1.0	0.9722222222222222	1.0	0.9722222222222222	1.0	0.9722222222222222	1.0	1.0	0.9722222222222222	0.9722222222222222	0.9722222222222222	0.9861111111111112	1.0	0.9722222222222222	1.0	0.9722222222222222	1.0	0.9722222222222222	1.0	1.0	0.9722222222222222	1.0	1.0	1.0	1.0	0.9827586206896551	0.9833333333333333	1.0	1.0	0.9767441860465116	0.9827586206896551	1.0	1.0	0.9827586206896551	1.0	1.0	1.0	0.9827586206896551	0.9861111111111112	1.0	0.9861111111111112	1.0	0.9444444444444444	0.9305555555555556	0.9305555555555556	0.9861111111111112	0.9444444444444444	0.9583333333333334	0.9857142857142858	0.9838709677419355	0.9838709677419355	0.9861111111111112	0.9838709677419355	0.9857142857142858	0.9672131147540983	0.9838709677419355	0.9857142857142858	0.9583333333333334	0.9818181818181818	0.9818181818181818	0.9710144927536232	0.9861111111111112	0.9420289855072463	0.935483870967742
jamAng-chr01R-d	0.9583333333333334	0.0	0.9863013698630136	0.9423076923076923	0.9589041095890412	0.9722222222222222	0.9444444444444444	0.9315068493150684	0.9452054794520548	1.0	0.9315068493150684	0.9452054794520548	0.9682539682539683	0.9726027397260274	0.935483870967742	0.9423076923076923	1.0	0.9178082191780822	0.9444444444444444	0.9452054794520548	0.9863013698630136	0.9863013698630136	0.9589041095890412	0.8767123287671232	0.9726027397260274	0.9423076923076923	1.0	0.9305555555555556	0.9315068493150684	0.9861111111111112	0.9861111111111112	0.9491525423728814	0.9452054794520548	0.9583333333333334	0.904109589041096	0.9315068493150684	0.9726027397260274	0.9589041095890412	0.9315068493150684	0.9315068493150684	0.9863013698630136	0.9863013698630136	0.9589041095890412	0.9726027397260274	0.9444444444444444	0.9841269841269842	1.0	0.9863013698630136	1.0	0.9863013698630136	0.9863013698630136	1.0	1.0	0.9863013698630136	0.9863013698630136	1.0	0.9863013698630136	1.0	0.9863013698630136	1.0	0.9863013698630136	0.967741935483871	0.9726027397260274	0.9863013698630136	0.9863013698630136	0.9863013698630136	1.0	1.0	0.9863013698630136	1.0	0.9863013698630136	1.0	0.9863013698630136	1.0	0.9863013698630136	0.9863013698630136	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9863013698630136	0.9726027397260274	0.9863013698630136	0.9863013698630136	1.0	0.9863013698630136	0.9589041095890412	1.0	1.0	1.0	0.9589041095890412	1.0	1.0	1.0	0.9516129032258065	1.0	0.9452054794520548	0.9818181818181818	0.9818181818181818	0.9565217391304348	0.9452054794520548	0.8840579710144928	0.8709677419354839
jamAng-chr02L-d	1.0	0.9863013698630136	0.0	0.9423076923076923	0.9452054794520548	0.875	0.9722222222222222	0.9700598802395209	0.9178082191780822	0.8983050847457628	0.8904109589041096	0.9315068493150684	0.8888888888888888	0.9589041095890412	0.9193548387096774	0.9423076923076923	0.99	0.9294871794871795	0.9166666666666666	0.9562043795620438	0.9802631578947368	0.904109589041096	0.9477124183006536	0.9518072289156626	0.9315068493150684	0.9423076923076923	1.0	0.9166666666666666	0.9452054794520548	0.9583333333333334	0.9305555555555556	0.8135593220338984	0.9536423841059603	0.9027777777777778	0.9036144578313253	0.9700598802395209	0.9459459459459459	0.926829268292683	0.9153846153846154	0.9153846153846154	0.9125	0.9589041095890412	0.9365079365079365	0.9096774193548387	0.9583333333333334	0.9365079365079365	0.9259259259259259	1.0	1.0	1.0	1.0	0.926829268292683	0.9259259259259259	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9761904761904762	1.0	1.0	1.0	1.0	1.0	1.0	0.9733333333333334	1.0	1.0	1.0	0.926829268292683	1.0	1.0	0.926829268292683	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9834710743801653	0.9772727272727273	1.0	0.9923076923076923	0.9923076923076923	0.900990099009901	0.9801980198019802	1.0	0.9571428571428572	0.9838709677419355	0.9838709677419355	1.0	0.9838709677419355	0.9571428571428572	0.9344262295081968	1.0	0.9571428571428572	0.9836065573770492	0.9818181818181818	0.9818181818181818	1.0	1.0	1.0	1.0
jamAng-chr02R-d	0.9807692307692307	0.9423076923076923	0.9423076923076923	0.0	0.9230769230769231	0.9615384615384616	0.8653846153846154	0.9230769230769231	0.8076923076923077	1.0	0.9230769230769231	0.7884615384615384	0.9807692307692307	0.9423076923076923	0.8846153846153846	0.0	0.9807692307692307	0.9230769230769231	0.9038461538461539	0.8846153846153846	0.9230769230769231	0.8653846153846154	0.9038461538461539	0.8461538461538461	0.9230769230769231	0.0	0.9038461538461539	0.9615384615384616	0.9807692307692307	0.9423076923076923	0.9807692307692307	0.9230769230769231	0.8461538461538461	0.8653846153846154	0.9807692307692307	0.9230769230769231	0.9423076923076923	0.8846153846153846	0.8846153846153846	0.8846153846153846	0.9423076923076923	0.8461538461538461	0.0	0.9423076923076923	0.5576923076923077	0.9423076923076923	1.0	0.9615384615384616	1.0	0.9615384615384616	0.9615384615384616	0.9512195121951219	1.0	0.9615384615384616	0.9615384615384616	0.9423076923076923	0.9615384615384616	0.9761904761904762	0.9615384615384616	0.9615384615384616	0.9615384615384616	0.9807692307692307	0.9807692307692307	0.9615384615384616	0.9615384615384616	0.9615384615384616	0.9615384615384616	0.9761904761904762	0.9615384615384616	1.0	0.9615384615384616	1.0	0.9615384615384616	0.9512195121951219	1.0	0.9615384615384616	0.9512195121951219	1.0	0.9615384615384616	0.9615384615384616	0.9615384615384616	1.0	0.9615384615384616	0.9615384615384616	0.9069767441860466	0.9615384615384616	0.9615384615384616	0.9615384615384616	0.9615384615384616	0.9615384615384616	0.9615384615384616	0.9615384615384616	0.9615384615384616	0.9230769230769231	0.9615384615384616	1.0	1.0	0.9615384615384616	0.9807692307692307	0.9807692307692307	0.9807692307692307	1.0	0.9038461538461539	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9615384615384616	1.0	1.0	1.0	1.0	1.0	1.0
jamAng-chr03L-d	1.0	0.9589041095890412	0.9452054794520548	0.9230769230769231	0.0	0.9166666666666666	0.9305555555555556	0.8767123287671232	0.9178082191780822	1.0	0.904109589041096	0.9589041095890412	0.9365079365079365	0.9315068493150684	0.935483870967742	0.9230769230769231	0.9452054794520548	0.904109589041096	0.9583333333333334	0.9589041095890412	0.904109589041096	0.9589041095890412	0.9452054794520548	0.9726027397260274	0.9726027397260274	0.9230769230769231	0.9682539682539683	0.9583333333333334	0.9863013698630136	0.9305555555555556	1.0	0.9491525423728814	0.9315068493150684	0.9583333333333334	0.9726027397260274	0.8767123287671232	0.904109589041096	0.9589041095890412	0.9589041095890412	0.9589041095890412	0.9726027397260274	0.9178082191780822	0.9178082191780822	0.9863013698630136	0.9583333333333334	0.8253968253968254	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9761904761904762	1.0	0.9863013698630136	1.0	1.0	1.0	1.0	1.0	1.0	0.9726027397260274	0.9761904761904762	1.0	1.0	1.0	0.9863013698630136	1.0	1.0	1.0	1.0	1.0	0.9565217391304348	0.9821428571428571	1.0	1.0	0.95	1.0	0.9824561403508771	1.0	1.0	0.9824561403508771	1.0	1.0	0.9821428571428571	1.0	0.9863013698630136	1.0	1.0	1.0	1.0	0.9589041095890412	0.9726027397260274	0.9726027397260274	0.9726027397260274	1.0	0.9452054794520548	1.0	0.9857142857142858	1.0	1.0	1.0	1.0	0.9857142857142858	1.0	1.0	0.9857142857142858	0.9863013698630136	1.0	1.0	1.0	1.0	1.0	1.0
jamAng-chr03R-d	1.0	0.9722222222222222	0.875	0.9615384615384616	0.9166666666666666	0.0	0.9305555555555556	0.9027777777777778	0.9444444444444444	1.0	0.9583333333333334	0.9444444444444444	0.9523809523809523	0.9861111111111112	0.935483870967742	0.9615384615384616	0.9861111111111112	0.9166666666666666	0.9583333333333334	0.9166666666666666	0.8888888888888888	0.9861111111111112	0.9305555555555556	0.9722222222222222	0.9861111111111112	0.9615384615384616	0.9523809523809523	0.9722222222222222	0.9166666666666666	0.8472222222222222	0.9722222222222222	0.9152542372881356	0.9444444444444444	0.9722222222222222	0.9027777777777778	0.9027777777777778	0.9722222222222222	0.9166666666666666	0.9861111111111112	0.9861111111111112	0.9444444444444444	0.9722222222222222	0.9305555555555556	0.9027777777777778	0.9861111111111112	0.7301587301587302	1.0	1.0	1.0	1.0	1.0	0.975609756097561	1.0	1.0	1.0	0.9818181818181818	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9722222222222222	1.0	0.9861111111111112	1.0	0.975609756097561	1.0	1.0	0.975609756097561	1.0	1.0	1.0	1.0	0.9666666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9861111111111112	0.9861111111111112	0.9583333333333334	1.0	1.0	0.9444444444444444	0.9444444444444444	1.0	0.9857142857142858	0.9838709677419355	0.9838709677419355	0.9583333333333334	0.9838709677419355	0.9857142857142858	0.9344262295081968	0.9838709677419355	0.9857142857142858	0.9722222222222222	1.0	1.0	0.9855072463768116	0.9583333333333334	0.9855072463768116	0.9838709677419355
jamAng-chr04L-d	1.0	0.9444444444444444	0.9722222222222222	0.8653846153846154	0.9305555555555556	0.9305555555555556	0.0	0.8888888888888888	0.8888888888888888	1.0	0.9722222222222222	0.875	0.9047619047619048	0.9027777777777778	0.8870967741935484	0.8653846153846154	0.9861111111111112	0.8888888888888888	0.9722222222222222	0.9444444444444444	0.9722222222222222	1.0	0.9444444444444444	0.9027777777777778	1.0	0.8653846153846154	0.9841269841269842	0.9722222222222222	0.9861111111111112	0.9583333333333334	0.9305555555555556	0.9661016949152542	0.9722222222222222	0.9027777777777778	0.9722222222222222	0.8888888888888888	0.9722222222222222	0.875	1.0	1.0	0.9444444444444444	0.9027777777777778	0.8472222222222222	0.9722222222222222	0.9027777777777778	0.9206349206349207	1.0	1.0	1.0	1.0	1.0	0.9512195121951219	1.0	1.0	1.0	1.0	1.0	0.9761904761904762	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9861111111111112	0.9761904761904762	1.0	1.0	1.0	0.9722222222222222	1.0	0.9512195121951219	1.0	1.0	0.9512195121951219	1.0	0.9642857142857143	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9642857142857143	1.0	1.0	1.0	1.0	1.0	0.9861111111111112	1.0	0.9722222222222222	0.9583333333333334	0.9583333333333334	0.9583333333333334	0.9722222222222222	1.0	1.0	1.0	1.0	0.9305555555555556	1.0	1.0	0.9836065573770492	0.9838709677419355	1.0	0.9583333333333334	0.9818181818181818	0.9818181818181818	0.9855072463768116	0.9305555555555556	0.9710144927536232	0.967741935483871
jamAng-chr04R-d	0.9444444444444444	0.9315068493150684	0.9700598802395209	0.9230769230769231	0.8767123287671232	0.9027777777777778	0.8888888888888888	0.0	0.9315068493150684	1.0	0.9452054794520548	0.9589041095890412	0.9365079365079365	0.9178082191780822	0.935483870967742	0.9230769230769231	0.91	0.9294871794871795	0.9444444444444444	0.8759124087591241	0.9342105263157895	0.9178082191780822	0.9411764705882353	0.9397590361445783	0.9589041095890412	0.9230769230769231	0.9365079365079365	0.9583333333333334	0.8767123287671232	0.8888888888888888	0.8611111111111112	0.8983050847457628	0.9072847682119205	0.8888888888888888	0.927710843373494	0.0	0.9459459459459459	0.9634146341463414	0.9307692307692308	0.9307692307692308	0.875	0.5753424657534247	0.9603174603174603	0.9548387096774194	0.9305555555555556	0.6349206349206349	0.962962962962963	0.9791666666666666	1.0	0.98	0.98	1.0	0.962962962962963	0.9791666666666666	0.98	0.9818181818181818	0.98	0.9761904761904762	0.98	0.9791666666666666	0.9791666666666666	1.0	1.0	0.98	0.98	0.9791666666666666	0.9759036144578314	0.9761904761904762	0.9797979797979798	1.0	0.9791666666666666	0.9753086419753086	0.98	1.0	0.9382716049382716	0.98	1.0	0.9782608695652174	0.9821428571428571	0.9824561403508771	0.9827586206896551	0.9833333333333333	0.9821428571428571	0.9824561403508771	0.9767441860465116	0.9827586206896551	0.9824561403508771	0.9821428571428571	0.9827586206896551	0.9821428571428571	0.9821428571428571	0.9791666666666666	0.9827586206896551	0.98989898989899	0.9603960396039604	0.9752066115702479	0.9621212121212122	0.9900990099009901	0.9846153846153847	0.9846153846153847	0.9603960396039604	0.9702970297029703	0.9876543209876543	0.9857142857142858	1.0	1.0	0.990990990990991	1.0	0.9857142857142858	0.9672131147540983	0.9838709677419355	0.9857142857142858	0.9508196721311475	1.0	1.0	0.9855072463768116	0.9819819819819819	0.9855072463768116	0.9838709677419355
jamAng-chr05L-d	0.9305555555555556	0.9452054794520548	0.9178082191780822	0.8076923076923077	0.9178082191780822	0.9444444444444444	0.8888888888888888	0.9315068493150684	0.0	0.9661016949152542	0.9315068493150684	0.9315068493150684	0.9682539682539683	0.9726027397260274	0.8870967741935484	0.8076923076923077	0.9863013698630136	0.8904109589041096	0.8888888888888888	0.9589041095890412	0.9589041095890412	0.9178082191780822	0.904109589041096	0.9726027397260274	0.9315068493150684	0.8076923076923077	0.8888888888888888	0.9583333333333334	0.9863013698630136	0.9444444444444444	0.9722222222222222	0.9322033898305084	0.904109589041096	0.8611111111111112	0.9452054794520548	0.9315068493150684	0.9589041095890412	0.8904109589041096	0.9589041095890412	0.9589041095890412	0.9589041095890412	0.863013698630137	0.7945205479452055	0.8767123287671232	0.9027777777777778	0.9365079365079365	1.0	0.9863013698630136	1.0	0.9863013698630136	0.9863013698630136	1.0	1.0	0.9863013698630136	0.9863013698630136	1.0	0.9863013698630136	0.9761904761904762	0.9863013698630136	1.0	0.9863013698630136	1.0	1.0	0.9863013698630136	0.9863013698630136	0.9863013698630136	0.9863013698630136	0.9761904761904762	0.9863013698630136	0.9452054794520548	0.9863013698630136	1.0	0.9863013698630136	1.0	1.0	0.9863013698630136	1.0	0.9565217391304348	0.9642857142857143	1.0	1.0	0.9833333333333333	1.0	1.0	0.9767441860465116	1.0	1.0	1.0	1.0	0.9642857142857143	1.0	1.0	1.0	0.9863013698630136	1.0	0.9863013698630136	1.0	0.9863013698630136	1.0	1.0	1.0	0.9452054794520548	0.9589041095890412	1.0	0.9193548387096774	0.9193548387096774	0.9726027397260274	0.9193548387096774	1.0	0.9672131147540983	0.9193548387096774	1.0	0.9726027397260274	0.9636363636363636	0.9636363636363636	0.927536231884058	0.9726027397260274	0.9565217391304348	0.9516129032258065
jamAng-chr05R-d	0.9661016949152542	1.0	0.8983050847457628	1.0	1.0	1.0	1.0	1.0	0.9661016949152542	0.0	1.0	0.9661016949152542	0.9661016949152542	0.9491525423728814	1.0	1.0	0.9830508474576272	0.9661016949152542	1.0	0.9830508474576272	0.9830508474576272	1.0	0.9830508474576272	1.0	1.0	1.0	1.0	0.9491525423728814	0.9830508474576272	1.0	1.0	1.0	0.9661016949152542	0.9491525423728814	0.9491525423728814	1.0	0.9830508474576272	0.9322033898305084	0.9661016949152542	0.9661016949152542	1.0	1.0	0.9830508474576272	0.9322033898305084	0.9661016949152542	1.0	1.0	0.9830508474576272	0.9661016949152542	0.9830508474576272	0.9830508474576272	1.0	1.0	0.9830508474576272	0.9830508474576272	0.9818181818181818	0.9830508474576272	1.0	0.9830508474576272	1.0	0.9830508474576272	1.0	1.0	0.9830508474576272	0.9830508474576272	0.9491525423728814	0.9491525423728814	1.0	0.9830508474576272	1.0	0.9830508474576272	1.0	0.9830508474576272	1.0	0.9661016949152542	0.9830508474576272	1.0	0.9782608695652174	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9830508474576272	0.9830508474576272	1.0	1.0	0.9661016949152542	1.0	0.9830508474576272	1.0	1.0	0.9830508474576272	0.9661016949152542	1.0	1.0	1.0	0.9661016949152542	0.9830508474576272	0.9830508474576272
